question,ground_truth
"Apa definisi clustering dalam kecerdasan buatan?","Clustering adalah proses menemukan kelompok dalam dataset secara unsupervised, di mana objek dalam satu cluster memiliki kemiripan satu sama lain dan berbeda dari objek di cluster lain."
"Apa tujuan utama customer segmentation?","Tujuan utama customer segmentation adalah untuk membagi basis pelanggan menjadi kelompok individu dengan karakteristik serupa, sehingga perusahaan dapat mengalokasikan sumber daya pemasaran dengan lebih efektif."
"Apa perbedaan utama antara clustering dan classification?","Classification adalah supervised learning di mana setiap data training instance termasuk dalam kelas tertentu, sedangkan clustering adalah unsupervised learning di mana data tidak berlabel."
"Apa keuntungan utama dari hierarchical clustering?","Keuntungan utama hierarchical clustering adalah tidak perlu menentukan jumlah cluster di awal, mudah diimplementasikan, dan menghasilkan dendrogram yang sangat berguna untuk memahami data."
"Sebutkan empat aplikasi clustering di berbagai industri.","Clustering diaplikasikan dalam industri retail untuk menemukan asosiasi pelanggan, di perbankan untuk analisis transaksi normal vs fraud, di asuransi untuk deteksi fraud, di media untuk kategorisasi berita, dan di bidang medis untuk mengkarakterisasi perilaku pasien."
"Apa yang dimaksud dengan K-Means clustering?","K-Means adalah tipe partitioning clustering yang membagi data menjadi k subset yang tidak tumpang tindih (cluster) tanpa struktur internal cluster atau label, di mana objek dalam cluster sangat mirip dan objek di cluster berbeda sangat berbeda."
"Bagaimana cara menentukan nilai K yang optimal dalam K-Means?","Nilai K optimal dapat ditentukan dengan metode Elbow, yaitu dengan menjalankan clustering dengan nilai K yang berbeda-beda dan melihat metrik akurasi, kemudian mencari 'titik siku' di mana tingkat penurunan error berubah secara tajam."
"Apa yang dimaksud dengan centroids dalam K-Means?","Centroids adalah titik pusat dari cluster, yang awalnya dipilih secara acak dan kemudian diperbarui menjadi rata-rata dari semua titik dalam cluster tersebut."
"Jelaskan algoritma dasar K-Means secara singkat.","Algoritma dasar K-Means: 1) Pilih K centroid secara acak, 2) Hitung jarak setiap titik ke semua centroid, 3) Tetapkan setiap titik ke centroid terdekat, 4) Hitung ulang posisi centroid, 5) Ulangi langkah 2-4 hingga centroid tidak berubah lagi."
"Apa kekurangan utama dari algoritma K-Means?","Kekurangan utama K-Means adalah memerlukan spesifikasi jumlah cluster (K) di awal, menghasilkan cluster berbentuk spherical, dan sensitif terhadap inisialisasi awal yang dapat menghasilkan cluster berbeda setiap kali dijalankan."
"Apa perbedaan antara Divisive dan Agglomerative dalam hierarchical clustering?","Divisive adalah pendekatan top-down (membagi satu cluster besar menjadi bagian lebih kecil), sedangkan Agglomerative adalah pendekatan bottom-up (mulai dari satu titik per cluster lalu menggabungkan cluster-cluster)."
"Apa yang dimaksud dengan dendrogram dalam hierarchical clustering?","Dendrogram adalah visualisasi hierarki dalam hierarchical clustering yang menunjukkan urutan penggabungan cluster dan tingkat kesamaan di mana cluster digabungkan."
"Sebutkan empat jenis linkage dalam hierarchical clustering.","Empat jenis linkage dalam hierarchical clustering adalah Single-Linkage (jarak terdekat), Complete-Linkage (jarak terjauh), Average Linkage (jarak rata-rata), dan Centroid Linkage (jarak antara centroid)."
"Apa kelebihan DBSCAN dibandingkan K-Means?","Kelebihan DBSCAN dibandingkan K-Means adalah kemampuannya menemukan cluster dengan bentuk sembarang, tidak perlu menentukan jumlah cluster, dan tahan terhadap outlier (noise)."
"Apa singkatan dari DBSCAN?","DBSCAN singkatan dari Density-Based Spatial Clustering of Applications with Noise."
"Apa dua parameter utama dalam algoritma DBSCAN?","Dua parameter utama dalam DBSCAN adalah Radius (R) yang menentukan jarak maksimum antar titik dalam sebuah lingkungan, dan Minimum Neighbors (M) yang menentukan jumlah minimum titik yang diperlukan untuk membentuk cluster."
"Jelaskan perbedaan antara core point, border point dan outlier dalam DBSCAN.","Core point adalah titik yang memiliki minimal M titik dalam radius R, Border point adalah titik yang memiliki kurang dari M titik dalam radius R tetapi berada dalam jangkauan R dari core point, sedangkan Outlier adalah titik yang bukan core point dan tidak dalam jangkauan R dari core point manapun."
"Mengapa K-Means tidak cocok untuk menemukan cluster berbentuk non-spherical?","K-Means tidak cocok untuk menemukan cluster non-spherical karena algoritma ini meminimalkan jarak euclidean dari titik ke centroid, yang cenderung membentuk cluster berbentuk bola/spherical."
"Bagaimana cara mengukur jarak antar data point dalam clustering?","Jarak antar data point dalam clustering dapat diukur dengan berbagai metode seperti Euclidean distance, Cosine similarity, Manhattan distance, atau metode lain tergantung tipe data dan domain pengetahuan."
"Apa yang dimaksud dengan 'intra-cluster' dan 'inter-cluster' distances dalam konteks K-Means?","'Intra-cluster distances' adalah jarak antar titik dalam satu cluster yang sama (yang diminimalkan dalam K-Means), sedangkan 'inter-cluster distances' adalah jarak antar cluster yang berbeda (yang dimaksimalkan dalam K-Means)." 
